,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Nikola Jovic,Serbia,8,6,2,75%,24,"10,1","2,4","3,4",70%,"1,4","3,3",42%,"3,8","6,6",57%,"1,3","1,6",77%,"0,6","2,4",3,"2,6",1,"0,4","0,1",0,"1,6",0,"10,4","13,3","8,1",16%,"1,25","127,6","98,9","28,7","127,4","98,6","28,8",67%,71%,17%,"1,82",22%,1,3%,2,8%,"0,6",32%,"1,43",6%,12%,12%,10%,19%,12%,24%,"2,6","3,80%","3,20%","2,70%","9,10%","11,20%","8,00%","11,80%","7,70%","7,90%","0,80%","0,30%","3,6",0,"12,4","0,4","0,4","0,8","0,167","3,9","1,3","5,2","3,8","78,7","127,6","98,9","28,7",68%,25%,14%,10%,55%,22%,18%,9%,"73,5","119,6",102,"17,6",63%,31%,13%,13%,58%,26%,20%,9%,"5,1",8,"-3,1","11,1",6%,-6%,1%,-3%,-3%,-4%,-2%,0%
Bogdan Bogdanovic,Serbia,8,6,2,75%,"27,9","19,1","3,6","5,6",64%,"2,8","6,5",42%,"6,4","12,1",53%,"3,6","4,3",85%,"0,8","2,5","3,3","4,6","1,5","2,1","0,4",0,"1,9",0,"19,8","10,3","15,6",29%,"1,22",126,106,20,"134,9","97,1","37,8",64%,68%,11%,"1,86",18%,"1,22",6%,"0,5",6%,"1,5",35%,"1,23",13%,10%,25%,21%,41%,17%,23%,"3,1","3,90%","3,80%","2,40%","11,10%","12,20%","9,40%","12,50%","6,30%","8,20%","4,40%","1,00%","3,9",0,"22,3",1,"0,5","1,5","0,271","10,4","2,6",13,"9,3",77,126,106,20,67%,26%,15%,10%,59%,23%,19%,10%,"75,6","121,5","90,5",31,65%,31%,13%,15%,50%,24%,18%,6%,"1,4","4,4","15,5","-11,1",2%,-4%,2%,-5%,9%,0%,0%,4%
Vanja Marinkovic,Serbia,8,6,2,75%,16,"7,8","0,8","1,4",55%,"1,8","3,9",45%,"2,5","5,3",48%,1,"1,1",89%,"0,3",1,"1,3","0,5","0,1","0,6","0,1",0,"1,5",0,"5,8","11,9","5,9",15%,"1,32","131,3","97,3",34,"121,2","96,7","24,5",64%,67%,6%,"0,67",11%,"1,6",6%,"0,67",15%,"2,57",51%,1,9%,2%,3%,1%,9%,0%,8%,4,"1,80%","4,00%","0,00%","0,00%","6,00%","3,50%","7,40%","0,00%","4,10%","1,70%","0,40%","4,1",0,"12,7","0,2","0,4","0,5","0,169",3,"1,2","4,2","2,2","72,7","131,3","97,3",34,68%,27%,13%,14%,55%,20%,18%,9%,"80,3","118,1","102,8","15,3",64%,29%,15%,10%,57%,27%,19%,9%,"-7,6","13,2","-5,5","18,7",5%,-2%,-2%,4%,-3%,-6%,-1%,0%
Ognjen Dobric,Serbia,8,6,2,75%,"20,4","8,4","2,5","3,9",65%,"0,6","3,3",19%,"3,1","7,1",44%,"1,5","1,9",80%,"0,6","1,4",2,"0,8","0,9",1,"0,3",0,"1,5",0,"5,6",8,"8,9",20%,"0,94","120,5","102,9","17,6","87,6","99,6",-12,48%,52%,13%,"1,56",27%,"1,05",4%,2,11%,0,25%,"0,83",10%,10%,4%,5%,4%,3%,8%,"0,9","4,10%","6,10%","2,80%","0,00%","7,50%","4,60%","7,10%","14,30%","5,90%","2,50%","0,80%","3,8",0,"9,1","-0,2","0,3","0,1","0,036","-0,5","1,7","1,2","1,4","80,2","120,5","102,9","17,6",64%,23%,14%,12%,57%,20%,18%,9%,"72,8","128,6","97,3","31,3",68%,33%,14%,11%,55%,28%,20%,8%,"7,4","-8,1","5,5","-13,6",-4%,-10%,-1%,1%,3%,-8%,-2%,1%
Dusan Ristic,Serbia,8,6,2,75%,"5,5","3,4","0,6","1,1",56%,"0,6","0,8",83%,"1,3","1,9",67%,"0,3","0,8",33%,"0,4","1,5","1,9",0,"0,8","0,1","0,1",0,"0,5",0,"3,1","3,5",3,32%,"1,13","124,3","77,6","46,7","92,8","71,6","21,3",83%,75%,4%,0,33%,"1,25",0%,-,0%,-,25%,"2,5",13%,25%,0%,0%,0%,0%,0%,0,"9,70%","0,00%","16,70%","0,00%","30,00%","38,90%","15,80%","25,00%","21,10%","1,30%","1,60%","5,3",0,15,0,"0,2","0,2","0,146","-4,6","-3,9","-8,5","-0,8","77,8","124,3","77,6","46,7",68%,16%,15%,13%,42%,18%,16%,7%,"76,3","124,4","103,3",21,66%,29%,14%,11%,58%,24%,19%,9%,"1,5","-0,1","-25,7","25,6",2%,-13%,1%,2%,-16%,-7%,-3%,-2%
Marko Guduric,Serbia,8,6,2,75%,17,"8,3","1,6",2,81%,"0,9","2,1",41%,"2,5","4,1",61%,"2,4","2,8",86%,"0,1",2,"2,1","3,3","1,5","0,4","0,1",0,"2,3",0,"8,4","7,9","6,9",17%,"1,2","116,7","91,2","25,5","137,6","92,5","45,1",71%,77%,7%,"1,5",20%,"1,64",2%,2,5%,2,25%,"1,07",18%,22%,21%,19%,40%,7%,32%,"2,2","0,80%","0,00%","0,00%","11,10%","11,20%","8,30%","13,90%","0,00%","6,40%","1,00%","0,40%","5,9",0,"14,2","0,6","0,5",1,"0,302","4,6","0,3","4,9","2,6","76,9","116,7","91,2","25,5",63%,20%,15%,13%,51%,27%,20%,7%,"76,1","131,3",109,"22,3",68%,35%,13%,10%,61%,20%,17%,10%,"0,7","-14,6","-17,9","3,2",-5%,-16%,2%,2%,-11%,7%,3%,-3%
Stefan Jovic,Serbia,8,6,2,75%,"21,5","5,9","1,8",3,58%,"0,6","2,3",28%,"2,4","5,3",45%,"0,5","0,9",57%,"0,3","1,8",2,"5,6","1,4","1,1",0,0,2,0,8,"7,4","6,9",18%,"0,85","130,9","111,3","19,6","132,2","104,4","27,8",51%,53%,7%,1,29%,"1,5",7%,0,2%,0,31%,"0,88",4%,20%,32%,34%,37%,13%,45%,"4,1","2,00%","4,20%","0,00%","0,00%","11,90%","10,90%","10,60%","0,00%","7,30%","3,30%","0,00%","5,8",0,"10,3","0,6","0,2","0,8","0,179","2,3","0,9","3,3","2,5","75,8","130,9","111,3","19,6",70%,26%,15%,6%,61%,21%,16%,9%,"77,1","118,9","91,2","27,6",63%,29%,13%,17%,52%,25%,21%,8%,"-1,2","12,1","20,1",-8,8%,-3%,1%,-11%,9%,-4%,-5%,1%
Dejan Davidovac,Serbia,8,6,2,75%,"15,3","3,8","1,1","1,5",75%,"0,4","1,4",27%,"1,5","2,9",52%,"0,4",1,38%,"0,8","1,9","2,6","1,4","0,5","1,3","0,4",0,"1,6",0,"5,3",9,"3,9",13%,"0,97","130,4","93,2","37,1","115,4","85,8","29,6",59%,56%,16%,2,16%,"1,2",6%,1,10%,2,26%,"0,38",13%,13%,10%,16%,10%,0%,26%,"2,8","7,40%","11,80%","3,90%","0,00%","14,90%","11,80%","17,30%","0,00%","11,50%","4,50%","1,70%","5,9",0,"10,7","0,1","0,4","0,5","0,172","2,2","6,1","8,3","3,5","73,4","130,4","93,2","37,1",68%,28%,13%,14%,54%,20%,20%,8%,"78,3","121,1","104,1",17,65%,28%,15%,10%,57%,25%,18%,9%,"-4,9","9,3","-10,8","20,1",3%,1%,-1%,4%,-4%,-6%,2%,-1%
Borisa Simanic,Serbia,8,6,2,75%,"2,5","0,4","0,1","0,1",100%,0,"0,1",0%,"0,1","0,3",50%,"0,1","0,3",50%,"0,1","0,3","0,4","0,1",0,0,"0,1",0,"0,1",0,"0,6","-1,3","0,4",20%,1,80,"137,5","-57,5","126,5","115,2","11,2",50%,50%,33%,2,0%,-,0%,-,0%,-,33%,0,33%,0%,25%,0%,-,0%,25%,"0,1","16,70%","0,00%","25,00%",-,"25,00%","33,30%","25,00%","0,00%","21,40%","0,00%","6,30%","6,3",0,"7,3",0,0,0,"0,052","9,9","3,7","13,6","0,9","71,9",80,"137,5","-57,5",55%,0%,27%,20%,61%,50%,10%,10%,"76,6","125,5","99,2","26,3",66%,29%,14%,11%,56%,22%,19%,9%,"-4,8","-45,5","38,3","-83,8",-12%,-29%,13%,9%,5%,28%,-9%,1%
Aleksa Avramovic,Serbia,8,6,2,75%,"15,3","9,9","2,6","4,1",64%,"0,6","2,4",26%,"3,3","6,5",50%,"2,8","3,1",88%,"0,3",1,"1,3","1,9","0,6","1,4","0,3",0,"1,4",0,9,"7,9","8,4",21%,"1,18","117,4","92,7","24,6","129,6","89,4","40,3",55%,64%,24%,"1,75",22%,"0,93",3%,0,1%,3,27%,"0,67",15%,7%,13%,12%,28%,3%,18%,3,"1,70%","1,90%","0,00%","12,50%","6,30%","3,10%","9,20%","0,00%","4,10%","3,80%","0,90%","3,8",0,20,"0,5","0,5","0,9","0,31",5,"1,9","6,9",3,"75,4","117,4","92,7","24,6",62%,26%,14%,15%,53%,26%,22%,10%,"77,4","130,3","106,7","23,6",70%,30%,14%,8%,58%,21%,16%,8%,-2,"-12,9",-14,"1,1",-9%,-4%,0%,7%,-5%,5%,6%,2%
Nikola Milutinov,Serbia,8,6,2,75%,"24,5","12,1","4,6",7,66%,0,0,-,"4,6",7,66%,"2,9","3,6",79%,"2,4",6,"8,4","2,3","1,4","0,6","0,6",0,"1,8",0,"17,8","9,1","9,9",18%,"1,23","124,9","108,4","16,6","131,7","101,4","30,3",66%,71%,25%,"1,7",39%,"1,16",6%,"0,8",0%,-,0%,-,15%,14%,10%,11%,8%,12%,19%,"1,6","12,30%","15,10%","9,40%","0,00%","28,40%","26,70%","22,80%","20,00%","20,70%","1,30%","1,60%","3,5",0,"18,8","0,6","0,4",1,"0,202","3,2","3,9","7,1",5,"77,3","124,9","108,4","16,6",66%,25%,14%,11%,61%,21%,19%,9%,75,"123,2","85,5","37,7",66%,33%,15%,13%,47%,27%,19%,8%,"2,3","1,7","22,8","-21,1",0%,-8%,-1%,-3%,14%,-6%,0%,2%
Kaier Li,China,5,1,4,20%,32,13,"4,4","9,8",45%,"0,2","1,2",17%,"4,6",11,42%,"3,6","5,4",67%,"0,6",5,"5,6","3,4","1,6",1,"0,6",0,"2,4",0,"11,4","-10,4","14,8",24%,"0,88","96,6",115,"-18,3","104,4","104,5","-0,1",43%,49%,16%,1,41%,"0,87",9%,"0,86",1%,0,7%,"0,6",15%,11%,17%,12%,31%,14%,19%,"2,1","2,30%","2,80%","1,60%","0,00%","18,80%","8,10%","18,80%","18,50%","10,60%","1,70%","1,20%","4,1",0,"18,2","0,1","0,2","0,3","0,076","-4,4","-1,3","-5,7","-1,7","78,3","96,6",115,"-18,3",55%,13%,18%,11%,59%,29%,14%,14%,"76,1",100,"140,6","-40,6",55%,38%,17%,11%,70%,29%,8%,12%,"2,2","-3,4","-25,7","22,3",1%,-25%,0%,1%,-11%,0%,5%,2%
Mingxuan Hu,China,5,1,4,20%,"20,4",9,"1,4","3,4",41%,"1,4","4,6",30%,"2,8",8,35%,2,"2,6",77%,"0,4","1,8","2,2","1,8","1,2","0,4",0,0,"2,2",0,"4,2","-14,6","10,4",23%,"0,87","97,6","130,5","-32,9","85,5","123,4","-37,8",44%,49%,6%,0,21%,"0,91",6%,"1,33",8%,"1,5",37%,"0,79",12%,12%,12%,7%,27%,15%,15%,"1,5","2,10%","1,90%","2,20%","0,00%","9,30%","11,60%","5,40%","4,50%","5,70%","0,90%","0,00%","5,2",0,"12,5","-0,2","-0,1","-0,2","-0,095","-3,7","-4,5","-8,1","-1,7","76,9","97,6","130,5","-32,9",54%,20%,17%,12%,66%,26%,12%,13%,"78,8","97,2","110,2",-13,56%,20%,18%,10%,56%,34%,13%,14%,"-1,9","0,4","20,3","-19,9",-2%,-1%,0%,3%,10%,-9%,-2%,-1%
Jiwei Zhao,China,5,1,4,20%,"19,2","5,2","0,4","1,8",22%,"1,2","3,8",32%,"1,6","5,6",29%,"0,8","0,8",100%,"0,2","0,6","0,8",4,2,"0,6",0,0,2,0,"2,6",-15,8,22%,"0,65","92,6","134,5","-41,8","84,4","123,9","-39,5",39%,43%,8%,"0,67",10%,"0,5",5%,0,8%,1,40%,"0,94",5%,25%,30%,35%,38%,16%,33%,2,"1,30%","0,00%","2,50%","0,00%","3,80%","2,70%","5,00%","0,00%","2,60%","1,70%","0,00%","5,6",0,"7,1","-0,2","-0,1","-0,2","-0,102","-4,5","-6,9","-11,4","-2,5","78,7","92,6","134,5","-41,8",54%,12%,18%,12%,66%,34%,12%,13%,77,"101,4","110,3","-8,9",56%,26%,17%,10%,57%,25%,13%,14%,"1,7","-8,8","24,1","-32,9",-2%,-14%,1%,2%,9%,9%,-1%,-1%
Rui Zhao,China,5,1,4,20%,27,"12,6","2,4","4,8",50%,"1,4","3,8",37%,"3,8","8,6",44%,"3,6","4,4",82%,"0,4","0,8","1,2","2,8","2,6","0,6",0,0,"2,6",0,"6,4","-9,6","13,2",22%,"0,95",100,"118,6","-18,6","98,9","113,6","-14,7",52%,59%,14%,"1,56",17%,"0,91",6%,0,2%,3,27%,1,15%,20%,14%,13%,10%,25%,18%,"1,1","1,70%","0,00%","2,00%","5,90%","3,20%","5,90%","1,30%","0,00%","2,40%","1,10%","0,00%","4,7",0,"14,9",0,"0,1",0,"0,013","-3,8","-4,7","-8,6","-2,5","79,8",100,"118,6","-18,6",58%,13%,18%,10%,61%,27%,13%,15%,"72,9","90,6","127,9","-37,4",49%,32%,17%,14%,64%,37%,12%,10%,"6,9","9,4","-9,3","18,7",8%,-19%,1%,-4%,-3%,-10%,1%,4%
Peng Zhou,China,5,1,4,20%,12,"3,8","0,4","1,2",33%,1,"1,8",56%,"1,4",3,47%,0,0,-,0,"1,4","1,4","0,2","0,8",0,0,0,"1,6",0,"1,4","-4,8","3,8",15%,1,"105,2","123,7","-18,6","74,4","119,8","-45,4",63%,63%,5%,2,21%,0,5%,2,16%,1,32%,2,-,21%,2%,4%,0%,0%,5%,"0,3","0,00%","0,00%","0,00%","0,00%","13,20%","13,00%","9,40%","16,70%","7,00%","0,00%","0,00%","6,8",0,"5,7","-0,1",0,"-0,1","-0,073","-7,7","-3,4","-11,1","-1,5","73,6","105,2","123,7","-18,6",60%,19%,19%,9%,62%,25%,11%,11%,"79,8","94,1","120,2","-26,1",53%,20%,17%,12%,61%,32%,13%,14%,"-6,2",11,"3,5","7,5",7%,-1%,2%,-3%,1%,-7%,-3%,-3%
Zhelin Wang,China,5,1,4,20%,"7,6","2,2","0,8","1,8",44%,0,"0,2",0%,"0,8",2,40%,"0,6","1,6",38%,"1,4",1,"2,4","0,4","1,2",0,0,0,"1,4",0,"0,2","-7,8",4,30%,"0,55","71,2","147,3","-76,1","63,5","143,3","-79,7",40%,39%,35%,"1,14",10%,0,0%,-,5%,0,0%,-,20%,30%,15%,25%,0%,0%,9%,"0,3","25,90%","28,60%","25,00%","0,00%","23,80%","50,00%","0,00%","33,30%","25,00%","0,00%","0,00%","12,7",0,"2,1","-0,2","-0,1","-0,3","-0,264","-5,5","-3,5","-9,1","-0,7","78,2","71,2","147,3","-76,1",42%,26%,24%,8%,78%,14%,10%,17%,"77,7","102,1",117,"-14,9",58%,19%,16%,12%,59%,32%,13%,13%,"0,5","-30,9","30,3","-61,2",-16%,7%,8%,-4%,19%,-17%,-3%,4%
Qi Zhou,China,5,1,4,20%,"17,6","8,4","3,2","3,4",94%,0,"0,8",0%,"3,2","4,2",76%,2,"3,2",63%,1,"2,6","3,6","2,4","1,2","0,6","1,2",0,"2,2",0,"10,6","-0,6","6,8",21%,"1,24","102,6","105,3","-2,7","132,3","94,4","37,8",76%,75%,32%,"1,82",15%,2,3%,2,0%,-,12%,0,21%,18%,24%,28%,35%,7%,26%,2,"8,20%","13,50%","0,00%","0,00%","19,10%","2,90%","30,60%","5,60%","14,00%","2,00%","5,10%","7,3",0,"31,3","0,3","0,2","0,5","0,223","2,1","1,5","3,5","1,4","76,4","102,6","105,3","-2,7",62%,13%,21%,14%,56%,24%,15%,14%,"78,7","94,1","131,3","-37,1",52%,23%,16%,9%,65%,33%,11%,13%,"-2,3","8,5","-25,9","34,4",10%,-10%,5%,4%,-9%,-10%,4%,2%
Yongxi Cui,China,5,1,4,20%,"8,4",3,1,"1,6",63%,"0,2","0,6",33%,"1,2","2,2",55%,"0,4","0,6",67%,0,2,2,1,0,"0,2","0,2",0,"0,8",0,"4,4",-6,"2,4",8%,"1,25","104,1","124,3","-20,3","137,6","113,5","24,1",59%,63%,17%,0,25%,2,25%,"1,33",8%,3,8%,0,8%,0%,8%,10%,10%,0%,29%,1,"0,00%","0,00%","0,00%","0,00%","13,90%","6,30%","12,50%","9,10%","7,00%","0,70%","0,80%","2,7",0,"25,4","0,1",0,"0,2","0,143","-4,5","-1,2","-5,7","-0,4","78,4","104,1","124,3","-20,3",54%,17%,11%,10%,61%,32%,12%,11%,"77,4","93,4","119,4","-26,1",56%,22%,22%,12%,62%,27%,13%,15%,1,"10,7","4,9","5,8",-2%,-5%,-11%,-2%,-1%,5%,-1%,-5%
Jinqiu Hu,China,5,1,4,20%,"15,2","7,4","2,8",4,70%,0,0,-,"2,8",4,70%,"1,8","2,2",82%,1,"1,4","2,4",1,"0,2",0,"0,2",0,"1,6",0,"7,6","-1,8",5,30%,"1,48","98,7","107,8","-9,1","148,3","95,6","52,7",70%,77%,16%,2,52%,"1,23",12%,"1,33",0%,-,0%,-,16%,4%,31%,25%,80%,0%,17%,5,"13,50%","16,70%","5,30%","25,00%","16,30%","21,10%","13,00%","0,00%","15,00%","0,00%","1,50%","10,4",0,29,"0,3","0,1","0,4","0,196","14,4","-3,2","11,2","2,8","76,8","98,7","107,8","-9,1",54%,19%,16%,15%,52%,35%,13%,14%,"78,1","97,1","124,6","-27,5",56%,20%,18%,10%,64%,27%,12%,13%,"-1,3","1,5","-16,8","18,3",-2%,-1%,-2%,4%,-12%,7%,1%,1%
Junlong Zhu,China,5,1,4,20%,"8,6","1,6","0,2","0,2",100%,"0,4",1,40%,"0,6","1,2",50%,0,0,-,0,"1,4","1,4","0,4","0,2","0,2",0,0,"1,4",0,"1,4","-3,2","1,4",5%,"1,14","97,8","105,6","-7,7","97,8","102,5","-4,7",67%,67%,0%,-,0%,-,14%,2,29%,"1,5",43%,1,-,14%,3%,6%,0%,0%,22%,2,"0,00%","0,00%","0,00%","0,00%","10,30%","8,30%","7,50%","15,40%","5,20%","0,70%","0,00%","4,9",0,"7,4",0,"0,1","0,1","0,113","-5,7",-1,"-6,7","-0,6","78,6","97,8","105,6","-7,7",54%,18%,16%,11%,56%,19%,13%,16%,"77,4","97,2","130,5","-33,3",56%,21%,18%,11%,65%,36%,12%,12%,"1,2","0,6","-24,9","25,6",-3%,-3%,-3%,-1%,-9%,-17%,1%,4%
Hao Fu,China,5,1,4,20%,"8,4","3,6","1,2","1,8",67%,"0,4","1,6",25%,"1,6","3,4",47%,0,0,-,"0,2",1,"1,2",0,0,0,0,0,"1,2",0,"1,8","-7,8","3,4",22%,"1,06","86,5","147,1","-60,7","86,3","139,4","-53,1",53%,53%,12%,2,18%,"1,33",24%,1,0%,-,47%,"0,75",-,0%,0%,0%,0%,0%,0%,0,"2,90%","0,00%","0,00%","20,00%","17,90%","10,00%","13,00%","25,00%","9,50%","0,00%","0,00%","8,6",0,"12,6",0,"-0,1","-0,1","-0,126","-4,4",-8,"-12,4","-1,2","86,7","86,5","147,1","-60,7",49%,11%,17%,6%,74%,29%,10%,12%,76,100,"115,6","-15,6",57%,22%,18%,12%,59%,29%,13%,14%,"10,7","-13,5","31,5",-45,-7%,-11%,-1%,-6%,15%,-1%,-3%,-2%
Zhenlin Zhang,China,5,1,4,20%,23,6,"1,2","2,6",46%,1,"3,6",28%,"2,2","6,2",35%,"0,6","0,8",75%,"0,2","1,8",2,"1,2","1,8","1,4","0,6",0,"2,6",0,"2,6","-12,4","8,2",18%,"0,73","96,8","121,3","-24,5",67,"110,1","-43,1",44%,47%,10%,"1,5",10%,1,12%,"0,4",12%,"0,6",32%,"0,92",2%,22%,7%,4%,25%,0%,13%,"0,7","1,00%","0,00%","2,00%","0,00%","9,30%","8,50%","3,60%","13,00%","5,00%","3,10%","1,60%","5,8",0,"6,7","-0,3","0,1","-0,2","-0,071",-7,0,"-6,9","-1,6","74,7","96,8","121,3","-24,5",56%,14%,18%,12%,61%,30%,12%,13%,"82,1","98,2","121,2",-23,55%,28%,16%,10%,63%,29%,14%,15%,"-7,4","-1,5","0,1","-1,6",1%,-13%,2%,1%,-2%,1%,-2%,-2%
Tyrese Haliburton,USA,8,5,3,63%,"21,6","8,6","0,9","1,4",64%,"2,1","4,5",47%,3,"5,9",51%,"0,5","0,6",80%,"0,3","2,8",3,"5,6","1,4","1,5","1,1",0,"1,4",0,"14,1","13,6","7,5",14%,"1,15","129,4","101,2","28,2",144,"94,4","49,5",69%,70%,3%,1,10%,"1,67",5%,"0,67",12%,"2,14",48%,"1,24",3%,18%,22%,25%,36%,7%,43%,"4,1","1,40%","1,60%","1,20%","0,00%","11,90%","6,50%","17,60%","0,00%","7,30%","3,00%","2,80%","2,7",0,"17,1","0,7","0,5","1,2","0,273","5,9","3,1","9,1","5,2","85,5","129,4","101,2","28,2",68%,29%,14%,15%,56%,23%,18%,9%,"81,9",113,"101,4","11,6",60%,27%,16%,9%,53%,29%,16%,6%,"3,6","16,4","-0,1","16,5",8%,1%,-1%,6%,3%,-6%,2%,2%
Mikal Bridges,USA,8,5,3,63%,24,"13,6","2,9","4,1",70%,"1,9","3,4",56%,"4,8","7,5",63%,"2,3","2,8",82%,"1,3","2,6","3,9","1,8","1,3","1,4","0,9",0,"1,8",0,"15,3","8,5","9,8",18%,"1,4","122,3","103,5","18,8","132,2","96,7","35,4",76%,79%,12%,"1,56",15%,"1,67",15%,1,19%,"1,2",14%,"2,45",12%,13%,8%,7%,18%,5%,15%,"1,4","6,40%","5,40%","5,30%","9,10%","10,90%","5,60%","14,50%","14,30%","8,90%","2,80%","2,00%","3,5",0,"18,5","0,5","0,4",1,"0,2","7,5","3,1","10,6","6,6","83,6","122,3","103,5","18,8",65%,24%,14%,13%,55%,23%,15%,7%,"84,5","122,9","98,3","24,6",65%,34%,15%,12%,54%,30%,19%,9%,"-0,9","-0,6","5,2","-5,8",0%,-10%,-1%,0%,1%,-7%,-4%,-3%
Cameron Johnson,USA,8,5,3,63%,"9,4","2,6",0,"0,6",0%,"0,6",2,31%,"0,6","2,6",24%,"0,8","1,3",60%,0,"0,8","0,8",1,"0,1","0,3",0,0,1,0,1,"1,6","3,4",20%,"0,78","114,2",100,"14,2",79,"99,2","-20,2",36%,40%,4%,0,11%,0,4%,0,37%,"0,6",22%,"1,5",19%,4%,15%,19%,10%,8%,23%,8,"0,00%","0,00%","0,00%","0,00%","11,50%","12,10%","9,10%","0,00%","5,50%","1,60%","0,00%","6,5",0,"4,2","-0,1","0,1",0,"0,001","2,2","-1,8","0,3","0,5","86,4","114,2",100,"14,2",58%,26%,13%,13%,57%,21%,20%,10%,"83,4","124,4","101,6","22,8",67%,29%,15%,12%,54%,27%,16%,7%,3,"-10,2","-1,6","-8,6",-9%,-3%,-3%,0%,4%,-6%,4%,3%
Brandon Ingram,USA,8,5,3,63%,"12,3","4,3","1,5","2,5",60%,"0,4","1,4",27%,"1,9","3,9",48%,"0,1","0,3",50%,"0,6","1,6","2,3",2,"1,3","0,1","0,3",0,"1,3",0,"4,3","5,4","5,3",18%,"0,81",122,"97,8","24,2","110,7","97,2","13,5",53%,53%,12%,"1,6",12%,"0,8",24%,"1,2",7%,2,17%,"0,43",2%,24%,16%,11%,26%,13%,28%,"1,6","6,30%","9,50%","2,60%","0,00%","12,90%","11,30%","9,80%","25,00%","9,90%","0,40%","1,10%","4,5",0,"7,8","0,1","0,2","0,3","0,143","-0,4","0,2","-0,2","0,5","81,6",122,"97,8","24,2",68%,26%,18%,9%,54%,27%,19%,7%,"85,1","122,9",103,"19,9",64%,29%,13%,14%,55%,25%,16%,8%,"-3,5","-0,9","-5,2","4,3",4%,-2%,5%,-6%,-1%,1%,3%,-1%
Paolo Banchero,USA,8,5,3,63%,"15,1","8,1","2,6","4,3",62%,"0,3","0,8",33%,"2,9",5,58%,"2,1","3,1",68%,"0,8","2,3",3,"1,4","1,1","0,5","0,8",0,"0,6",0,"8,9",12,"7,6",16%,"1,07","122,8","91,2","31,6","112,9","90,3","22,6",60%,63%,21%,"1,23",25%,"1,2",10%,"1,33",3%,0,7%,"1,5",20%,15%,7%,5%,10%,7%,15%,"1,2","4,50%","6,20%","2,60%","0,00%","10,40%","11,20%","7,20%","0,00%","7,90%","1,10%","2,00%","1,4",0,"15,7","0,2","0,5","0,7","0,226","0,3","1,6",2,"1,3","83,5","122,8","91,2","31,6",68%,24%,17%,11%,50%,23%,18%,7%,"84,3","122,4","112,5","9,8",62%,31%,12%,14%,59%,29%,15%,8%,"-0,8","0,4","-21,4","21,8",6%,-7%,5%,-2%,-8%,-6%,3%,-1%
Bobby Portis,USA,8,5,3,63%,13,"7,9","2,8","4,3",65%,"0,3","1,3",20%,3,"5,5",55%,"1,6","1,9",87%,"0,8","3,6","4,4","0,4",1,"0,9",0,0,"0,9",0,"8,9","6,4","7,4",31%,"1,07",132,"102,9","29,1",98,"88,6","9,4",57%,62%,25%,"1,2",17%,"1,2",15%,"1,56",5%,2,12%,0,12%,14%,4%,3%,5%,6%,5%,"0,4","9,80%","11,40%","3,60%","16,70%","33,00%","40,80%","22,50%","0,00%","23,50%","4,10%","0,00%","4,1",0,"16,5",0,"0,3","0,2","0,092","-1,6","0,3","-1,4","0,2","85,6",132,"102,9","29,1",69%,28%,13%,14%,54%,23%,14%,4%,"83,4","119,4","100,8","18,6",64%,28%,15%,12%,55%,27%,18%,9%,"2,1","12,6","2,2","10,4",6%,0%,-2%,2%,-1%,-4%,-4%,-5%
Anthony Edwards,USA,8,5,3,63%,26,"18,9","5,5","9,6",57%,"1,8","5,6",31%,"7,3","15,3",48%,"2,6","3,8",70%,"0,3","4,4","4,6","2,8",2,"1,1","0,5",0,"1,8",0,15,"6,4","18,9",40%,1,"121,7","110,1","11,6","107,2","97,8","9,4",53%,56%,11%,"1,65",23%,"0,94",17%,"1,08",3%,"1,2",26%,"0,92",9%,11%,18%,14%,27%,19%,13%,"1,4","1,40%","0,00%","2,90%","0,00%","22,00%","17,70%","28,60%","0,00%","12,10%","2,70%","1,40%","4,2",0,"16,3","0,2","0,4","0,6","0,11","3,6","0,2","3,8","3,3","83,6","121,7","110,1","11,6",63%,24%,12%,12%,58%,31%,17%,10%,"84,3","123,5","92,9","30,6",67%,32%,17%,13%,51%,20%,17%,6%,"-0,6","-1,8","17,2",-19,-5%,-8%,-5%,-1%,6%,11%,0%,4%
